Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Fees,11/21/2023,Deposit,10R01838R4978223D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.75,"$30,542.84"
PayPal Bank 3,11/21/2023,Deposit,5JG69579PP810320T,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 5JG69579PP810320Thttps://www.paypal.com/activity/payment/5JG69579PP810320T,PayPal Bank 3,--,$23.63,"$30,566.47"
Donations directed by individuals,11/21/2023,Deposit,5JG69579PP810320T,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$24.99,"$30,591.46"
PayPal Fees,11/21/2023,Deposit,5JG69579PP810320T,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.36,"$30,592.82"
PayPal Bank 3,11/21/2023,Deposit,253365199H341794T,--,"Subject: GeneralPageNote: Дякую, Любо!Transaction ID: 253365199H341794Thttps://www.paypal.com/activity/payment/253365199H341794T",PayPal Bank 3,--,$250.00,"$30,842.82"
Donations directed by individuals,11/21/2023,Deposit,253365199H341794T,--,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$255.58,"$31,098.40"
PayPal Fees,11/21/2023,Deposit,253365199H341794T,--,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.58,"$31,103.98"
PayPal Bank 3,11/20/2023,Deposit,8V7241598D265010J,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 8V7241598D265010Jhttps://www.paypal.com/activity/payment/8V7241598D265010J,PayPal Bank 3,--,$50.00,"$31,153.98"
Donations directed by individuals,11/20/2023,Deposit,8V7241598D265010J,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$31,205.50"
PayPal Fees,11/20/2023,Deposit,8V7241598D265010J,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$31,207.02"
PayPal Bank 3,11/20/2023,Deposit,6W059068G6709415E,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 6W059068G6709415Ehttps://www.paypal.com/activity/payment/6W059068G6709415E,PayPal Bank 3,--,$34.46,"$31,241.48"
Donations directed by individuals,11/20/2023,Deposit,6W059068G6709415E,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$36.21,"$31,277.69"
PayPal Fees,11/20/2023,Deposit,6W059068G6709415E,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.75,"$31,279.44"
PayPal Bank 3,11/20/2023,Deposit,0HF1095302855471A,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 0HF1095302855471Ahttps://www.paypal.com/activity/payment/0HF1095302855471A,PayPal Bank 3,--,$9.16,"$31,288.60"
Donations directed by individuals,11/20/2023,Deposit,0HF1095302855471A,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$31,298.60"
PayPal Fees,11/20/2023,Deposit,0HF1095302855471A,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$31,299.44"
PayPal Bank 3,11/20/2023,Deposit,33557123ES158280K,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 33557123ES158280Khttps://www.paypal.com/activity/payment/33557123ES158280K,PayPal Bank 3,--,$29.53,"$31,328.97"
Donations directed by individuals,11/20/2023,Deposit,33557123ES158280K,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.11,"$31,360.08"
PayPal Fees,11/20/2023,Deposit,33557123ES158280K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.58,"$31,361.66"
PayPal Bank 3,11/20/2023,Deposit,00E57764GC219760N,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 00E57764GC219760Nhttps://www.paypal.com/activity/payment/00E57764GC219760N,PayPal Bank 3,--,$9.84,"$31,371.50"
Donations directed by individuals,11/20/2023,Deposit,00E57764GC219760N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.70,"$31,382.20"
PayPal Fees,11/20/2023,Deposit,00E57764GC219760N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.86,"$31,383.06"
PayPal Bank 3,11/20/2023,Deposit,7FP76769EF635015G,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 7FP76769EF635015Ghttps://www.paypal.com/activity/payment/7FP76769EF635015G,PayPal Bank 3,--,$9.16,"$31,392.22"
Donations directed by individuals,11/20/2023,Deposit,7FP76769EF635015G,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$31,402.22"
PayPal Fees,11/20/2023,Deposit,7FP76769EF635015G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$31,403.06"
PayPal Bank 3,11/20/2023,Deposit,4DB2006608285014V,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4DB2006608285014Vhttps://www.paypal.com/activity/payment/4DB2006608285014V,PayPal Bank 3,--,$97.52,"$31,500.58"
Donations directed by individuals,11/20/2023,Deposit,4DB2006608285014V,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$31,600.58"
PayPal Fees,11/20/2023,Deposit,4DB2006608285014V,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48,"$31,603.06"
PayPal Bank 3,11/20/2023,Deposit,6BW69333JG702230U,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 6BW69333JG702230Uhttps://www.paypal.com/activity/payment/6BW69333JG702230U,PayPal Bank 3,--,$70.08,"$31,673.14"
Donations directed by individuals,11/20/2023,Deposit,6BW69333JG702230U,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$72.00,"$31,745.14"
PayPal Fees,11/20/2023,Deposit,6BW69333JG702230U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.92,"$31,747.06"
PayPal Bank 3,11/20/2023,Deposit,0GL91133V98395644,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 0GL91133V98395644https://www.paypal.com/activity/payment/0GL91133V98395644,PayPal Bank 3,--,$19.69,"$31,766.75"
Donations directed by individuals,11/20/2023,Deposit,0GL91133V98395644,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91,"$31,787.66"
PayPal Fees,11/20/2023,Deposit,0GL91133V98395644,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.22,"$31,788.88"
PayPal Bank 3,11/20/2023,Deposit,1JJ41240WY4893701,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 1JJ41240WY4893701https://www.paypal.com/activity/payment/1JJ41240WY4893701,PayPal Bank 3,--,$9.16,"$31,798.04"
Donations directed by individuals,11/20/2023,Deposit,1JJ41240WY4893701,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$31,808.04"
PayPal Fees,11/20/2023,Deposit,1JJ41240WY4893701,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$31,808.88"
PayPal Bank 3,11/19/2023,Deposit,7AW0007980209540U,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7AW0007980209540Uhttps://www.paypal.com/activity/payment/7AW0007980209540U,PayPal Bank 3,--,$9.31,"$31,818.19"
Donations directed by individuals,11/19/2023,Deposit,7AW0007980209540U,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$31,828.19"
PayPal Fees,11/19/2023,Deposit,7AW0007980209540U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.69,"$31,828.88"
PayPal Bank 3,11/19/2023,Deposit,41U22115V6649302L,07 1000 DRONES RESTR,Subject: 1000 DRONES FOR UKRAINETransaction ID: 41U22115V6649302Lhttps://www.paypal.com/activity/payment/41U22115V6649302L,PayPal Bank 3,--,$18.81,"$31,847.69"
Donations directed by individuals,11/19/2023,Deposit,41U22115V6649302L,07 1000 DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$31,867.69"
PayPal Fees,11/19/2023,Deposit,41U22115V6649302L,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$31,868.88"
PayPal Bank 3,11/19/2023,Deposit,36N5900591660730M,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 36N5900591660730Mhttps://www.paypal.com/activity/payment/36N5900591660730M,PayPal Bank 3,--,$9.93,"$31,878.81"
Donations directed by individuals,11/19/2023,Deposit,36N5900591660730M,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$31,889.61"
PayPal Fees,11/19/2023,Deposit,36N5900591660730M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.87,"$31,890.48"
PayPal Bank 3,11/19/2023,Deposit,99V92616V09718308,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 99V92616V09718308https://www.paypal.com/activity/payment/99V92616V09718308,PayPal Bank 3,--,$47.70,"$31,938.18"
Donations directed by individuals,11/19/2023,Deposit,99V92616V09718308,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$49.93,"$31,988.11"
PayPal Fees,11/19/2023,Deposit,99V92616V09718308,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.23,"$31,990.34"
PayPal Bank 3,11/19/2023,Deposit,30V01694B0899741R,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 30V01694B0899741Rhttps://www.paypal.com/activity/payment/30V01694B0899741R,PayPal Bank 3,--,$19.87,"$32,010.21"
Donations directed by individuals,11/19/2023,Deposit,30V01694B0899741R,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$32,031.31"
PayPal Fees,11/19/2023,Deposit,30V01694B0899741R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.23,"$32,032.54"
PayPal Bank 3,11/19/2023,Deposit,7W470114K4993945V,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7W470114K4993945Vhttps://www.paypal.com/activity/payment/7W470114K4993945V,PayPal Bank 3,--,$9.16,"$32,041.70"
Donations directed by individuals,11/19/2023,Deposit,7W470114K4993945V,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$32,051.70"
PayPal Fees,11/19/2023,Deposit,7W470114K4993945V,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$32,052.54"
PayPal Bank 3,11/18/2023,Transfer,--,--,ORIG CO NAME:PAYPAL ORIG ID:PAYPALSD11 DESC DATE:231117 CO ENTRY DESCR:TRANSFER SEC:PPD TRACE#:091000010037318 EED:231120 IND ID: IND NAME:DIGNITAS UKRAINE TRN: XXXXXX7318TC,PayPal Bank 3,CHASE ENDING IN 5315,"-$11,500.00","$20,552.54"
CHASE ENDING IN 5315,11/18/2023,Transfer,--,--,ORIG CO NAME:PAYPAL ORIG ID:PAYPALSD11 DESC DATE:231117 CO ENTRY DESCR:TRANSFER SEC:PPD TRACE#:091000010037318 EED:231120 IND ID: IND NAME:DIGNITAS UKRAINE TRN: XXXXXX7318TC,CHASE ENDING IN 5315,PayPal Bank 3,"$11,500.00","$32,052.54"
PayPal Bank 3,11/18/2023,Deposit,4XA71597YP164750V,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4XA71597YP164750Vhttps://www.paypal.com/activity/payment/4XA71597YP164750V,PayPal Bank 3,--,$20.00,"$32,072.54"
Donations directed by individuals,11/18/2023,Deposit,4XA71597YP164750V,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91,"$32,093.45"
PayPal Fees,11/18/2023,Deposit,4XA71597YP164750V,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.91,"$32,094.36"
PayPal Bank 3,11/18/2023,Deposit,4YW78504J8812132N,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4YW78504J8812132Nhttps://www.paypal.com/activity/payment/4YW78504J8812132N,PayPal Bank 3,--,$98.46,"$32,192.82"
Donations directed by individuals,11/18/2023,Deposit,4YW78504J8812132N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,"$32,295.35"
PayPal Fees,11/18/2023,Deposit,4YW78504J8812132N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07,"$32,299.42"
PayPal Bank 3,11/18/2023,Deposit,67E00611110789140,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 67E00611110789140https://www.paypal.com/activity/payment/67E00611110789140,PayPal Bank 3,--,$200.00,"$32,499.42"
Donations directed by individuals,11/18/2023,Deposit,67E00611110789140,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56,"$32,703.98"
PayPal Fees,11/18/2023,Deposit,67E00611110789140,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.56,"$32,708.54"
PayPal Bank 3,11/18/2023,Deposit,1E678340YS7240746,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 1E678340YS7240746https://www.paypal.com/activity/payment/1E678340YS7240746,PayPal Bank 3,--,$47.76,"$32,756.30"
Donations directed by individuals,11/18/2023,Deposit,1E678340YS7240746,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$32,806.30"
PayPal Fees,11/18/2023,Deposit,1E678340YS7240746,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.24,"$32,808.54"
PayPal Bank 3,11/18/2023,Deposit,0YK72624BP374931J,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 0YK72624BP374931Jhttps://www.paypal.com/activity/payment/0YK72624BP374931J,PayPal Bank 3,--,$48.51,"$32,857.05"
Donations directed by individuals,11/18/2023,Deposit,0YK72624BP374931J,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$32,907.05"
PayPal Fees,11/18/2023,Deposit,0YK72624BP374931J,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.49,"$32,908.54"
PayPal Bank 3,11/18/2023,Deposit,5DF65154JB865143F,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 5DF65154JB865143Fhttps://www.paypal.com/activity/payment/5DF65154JB865143F,PayPal Bank 3,--,$18.81,"$32,927.35"
Donations directed by individuals,11/18/2023,Deposit,5DF65154JB865143F,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$32,947.35"
PayPal Fees,11/18/2023,Deposit,5DF65154JB865143F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$32,948.54"
PayPal Bank 3,11/17/2023,Deposit,1K185757M7106850K,08 VICTORY DRONES RESTR,Subject: VICTORY DRONESTransaction ID: 1K185757M7106850Khttps://www.paypal.com/activity/payment/1K185757M7106850K,PayPal Bank 3,--,$2.97,"$32,951.51"
Donations directed by individuals,11/17/2023,Deposit,1K185757M7106850K,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$3.59,"$32,955.10"
PayPal Fees,11/17/2023,Deposit,1K185757M7106850K,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.62,"$32,955.72"
PayPal Bank 3,11/17/2023,Deposit,6J4245493J161114B,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6J4245493J161114Bhttps://www.paypal.com/activity/payment/6J4245493J161114B,PayPal Bank 3,--,$14.76,"$32,970.48"
Donations directed by individuals,11/17/2023,Deposit,6J4245493J161114B,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.80,"$32,986.28"
PayPal Fees,11/17/2023,Deposit,6J4245493J161114B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.04,"$32,987.32"
PayPal Bank 3,11/17/2023,Deposit,7VR32295WD960731K,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 7VR32295WD960731Khttps://www.paypal.com/activity/payment/7VR32295WD960731K,PayPal Bank 3,--,$48.51,"$33,035.83"
Donations directed by individuals,11/17/2023,Deposit,7VR32295WD960731K,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$33,085.83"
PayPal Fees,11/17/2023,Deposit,7VR32295WD960731K,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.49,"$33,087.32"
PayPal Bank 3,11/17/2023,Deposit,9LT38414GY201121K,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 9LT38414GY201121Khttps://www.paypal.com/activity/payment/9LT38414GY201121K,PayPal Bank 3,--,$47.76,"$33,135.08"
Donations directed by individuals,11/17/2023,Deposit,9LT38414GY201121K,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00,"$33,185.08"
PayPal Fees,11/17/2023,Deposit,9LT38414GY201121K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.24,"$33,187.32"
PayPal Bank 3,11/17/2023,Deposit,4H291932RP475962P,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 4H291932RP475962Phttps://www.paypal.com/activity/payment/4H291932RP475962P,PayPal Bank 3,--,$9.31,"$33,196.63"
Donations directed by individuals,11/17/2023,Deposit,4H291932RP475962P,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$33,206.63"
PayPal Fees,11/17/2023,Deposit,4H291932RP475962P,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.69,"$33,207.32"
PayPal Bank 3,11/17/2023,Deposit,946590784K897934L,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 946590784K897934Lhttps://www.paypal.com/activity/payment/946590784K897934L,PayPal Bank 3,--,$675.08,"$33,882.40"
Donations directed by individuals,11/17/2023,Deposit,946590784K897934L,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$700.00,"$34,582.40"
PayPal Fees,11/17/2023,Deposit,946590784K897934L,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$24.92,"$34,607.32"
PayPal Bank 3,11/16/2023,Deposit,1RP33938FU887203C,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 1RP33938FU887203Chttps://www.paypal.com/activity/payment/1RP33938FU887203C,PayPal Bank 3,--,$19.69,"$34,627.01"
Donations directed by individuals,11/16/2023,Deposit,1RP33938FU887203C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91,"$34,647.92"
PayPal Fees,11/16/2023,Deposit,1RP33938FU887203C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.22,"$34,649.14"
PayPal Bank 3,11/16/2023,Deposit,4NM84474AD8908245,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 4NM84474AD8908245https://www.paypal.com/activity/payment/4NM84474AD8908245,PayPal Bank 3,--,$20.95,"$34,670.09"
Donations directed by individuals,11/16/2023,Deposit,4NM84474AD8908245,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$22.22,"$34,692.31"
PayPal Fees,11/16/2023,Deposit,4NM84474AD8908245,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.27,"$34,693.58"
PayPal Bank 3,11/16/2023,Deposit,6U502206B3752410U,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 6U502206B3752410Uhttps://www.paypal.com/activity/payment/6U502206B3752410U,PayPal Bank 3,--,$96.02,"$34,789.60"
Donations directed by individuals,11/16/2023,Deposit,6U502206B3752410U,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$34,889.60"
PayPal Fees,11/16/2023,Deposit,6U502206B3752410U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.98,"$34,893.58"
PayPal Bank 3,11/16/2023,Deposit,8N631128NU283800D,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 8N631128NU283800Dhttps://www.paypal.com/activity/payment/8N631128NU283800D,PayPal Bank 3,--,$99.38,"$34,992.96"
Donations directed by individuals,11/16/2023,Deposit,8N631128NU283800D,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$35,096.44"
PayPal Fees,11/16/2023,Deposit,8N631128NU283800D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.10,"$35,100.54"
